Kota Inflasi,,,,,,,,,,,,
,Indeks Harga Konsumen (Umum),,,,,,,,,,,
,2017,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember
KOTA MEULABOH,127.51,128.03,127.95,127.29,127.37,127.98,127.99,128.3,128.78,129.14,130.28,131.82
KOTA BANDA ACEH,120.27,120.5,120.32,120.2,121.23,122.21,122.6,123.11,123.87,124.08,124.45,125.77
KOTA LHOKSEUMAWE,125.26,124.27,122.53,121.7,122.79,123.9,124.32,125.68,125.88,126,126.39,128.53
KOTA SIBOLGA,133.28,131.5,130.58,130.91,131.42,131.92,131.61,132.94,134.17,134.58,136.07,136.59
KOTA PEMATANG SIANTAR,133.02,132.8,133.03,132.81,132.8,132.71,133.06,134.16,134.9,135.1,135.53,136.16
KOTA MEDAN,133.44,132.59,132.33,131.63,131.73,132.05,132.46,133.87,135.31,135.63,136.17,137.16
KOTA PADANGSIDIMPUAN,126.72,126.63,126.08,126.34,126.23,127.6,126.96,127.5,128.01,128.21,129.03,130.15
KOTA PADANG,134.24,134.06,134.04,133.62,133.56,134.01,134.73,134.25,134.43,134.69,135.33,136.3
KOTA BUKITTINGGI,126.57,126,126.31,126.08,125.52,125.77,125.88,126.23,126.62,127.14,127.55,128.02
TEMBILAHAN,131.43,131.25,131.26,131.29,132.2,132.62,132.9,133.96,133.95,134.07,134.76,135.43
KOTA PEKANBARU,129.82,129.04,129.53,129.89,130.05,130.24,131,131.26,131.65,132.09,132.52,133.16
KOTA DUMAI,129.65,131.1,130.85,130.57,130.71,131.89,131.95,132.13,132.19,132.29,133.11,133.82
BUNGO,125.37,125.34,126.23,126.69,126.89,127.98,128.58,128.34,127.98,128.69,129.23,129.64
KOTA JAMBI,127.53,125.74,126.13,126.88,127.27,127.85,128.23,127.98,127.54,127.61,128.67,130.62
KOTA PALEMBANG,125.62,125.73,125.61,125.51,126.31,127.4,127.56,127.3,127.19,127.29,127.73,128.52
KOTA LUBUKLINGGAU,124.86,125.23,125.14,125.39,126.07,127.33,127.07,127.36,126.79,126.87,127.76,128.69
KOTA BENGKULU,136.36,136.65,136.96,136.55,137.31,138.1,138.59,138.86,138.8,138.63,138.87,139.84
KOTA BANDAR LAMPUNG,128.38,129.13,129.05,128.78,129.92,130.62,130.5,129.95,130.28,130.42,130.7,131.31
KOTA METRO,135.04,135.42,135.01,134.78,135.94,136.59,136.49,136.31,136.45,136.77,136.88,137.19
TANJUNG PANDAN,136.53,136.14,134.11,135.36,136.58,139.08,138.91,137.94,136.74,137.14,137.5,139.56
KOTA PANGKAL PINANG,135.69,134.19,134.7,136.08,134.81,136.38,135.94,134.88,135.08,134.99,135.15,136.95
KOTA BATAM,127.81,127.92,126.86,127.47,128.18,129.64,129.49,129.5,130.18,131.12,131.26,132.2
KOTA TANJUNG PINANG,127.23,127.98,127.16,126.83,127.35,127.94,128.47,128.73,129.16,129.13,129.18,130.26
DKI JAKARTA,127.52,127.94,128,127.97,128.6,129.19,129.71,129.88,129.94,130.02,130.12,130.97
KOTA BOGOR,127.76,128.2,128.32,128.41,129.14,129.95,130.13,129.66,130.43,130.77,131.3,131.86
KOTA SUKABUMI,126.1,126.58,126.87,127.34,127.96,129.26,129.04,129.15,129.13,129.23,129.47,130.22
KOTA BANDUNG,125.89,126.37,126.35,126.48,127.08,128.34,127.99,128.07,128.21,128.17,128.67,129.61
KOTA CIREBON,122.18,122.7,122.55,123.04,123.83,124.79,125.96,125.61,125.44,125.53,125.73,126.44
KOTA BEKASI,124.05,124.26,124.55,124.65,124.99,126.11,125.93,125.8,126.13,126.22,126.24,126.77
KOTA DEPOK,125.42,126.13,126.19,126.47,127.11,128.34,128.83,128.55,128.56,128.31,128.46,129.24
KOTA TASIKMALAYA,125.3,125.69,125.73,126.42,127.21,127.89,127.93,128.23,128.54,128.44,128.61,129.26
CILACAP,129.85,130.74,130.59,130.6,131.37,132.67,132.09,131.79,132.12,132.15,132.66,133.45
PURWOKERTO,124.53,125.23,125.22,125.17,125.99,127.23,127.47,126.78,126.71,126.83,127.33,128.05
KUDUS,132.98,134.22,134.15,134.22,135.3,136.05,135.6,135.38,135.51,135.39,135.86,136.67
KOTA SURAKARTA,123.83,124.43,124.24,124.39,124.8,125.88,126.01,124.72,124.64,124.65,124.84,126.21
KOTA SEMARANG,125.97,126.53,126.35,126.63,127.38,127.85,128.24,127.63,128.07,127.88,128.26,129.13
KOTA TEGAL,123.69,124.08,123.94,124.18,125.1,126.23,126.42,126.04,126.19,126.46,126.81,127.43
KOTA YOGYAKARTA,124.74,125.19,125.11,125.46,125.87,126.64,127.18,126.61,126.78,126.98,127.24,128.39
JEMBER,124.35,124.62,124.43,124.78,125.23,125.78,125.87,125.76,125.83,125.62,126.05,126.88
BANYUWANGI,123.31,123.74,123.49,124.08,124.49,125.07,125.26,125.12,125.1,125.21,125.62,126.38
SUMENEP,123.83,124.63,124.44,124.62,125.44,125.94,126.16,125.85,125.89,125.93,126.65,127.19
KOTA KEDIRI,123.71,124.57,124.41,124.88,125.51,126.06,125.92,125.7,126.09,125.94,126.23,126.77
KOTA MALANG,128.18,128.49,128.38,128.83,129.88,130.36,130.75,130.01,130.07,130.1,130.45,131.09
KOTA PROBOLINGGO,124.5,124.66,124.3,124.85,125.31,126.19,126.1,125.86,126,125.79,126.13,127
KOTA MADIUN,124.44,125.46,125.38,125.94,126.67,127.53,127.76,127.55,127.7,127.88,128.01,128.61
KOTA SURABAYA,127.98,128.18,128.1,128.4,128.9,129.57,129.76,129.51,129.85,129.92,130.16,131.26
KOTA TANGERANG,134.48,135.13,135.09,135.03,135.7,136.63,136.45,136.35,136.78,136.7,137.19,138.29
KOTA CILEGON,132.26,132.76,133.43,133.77,134.54,135.56,136.3,136.58,136.74,136.75,137.22,137.85
KOTA SERANG,134.06,134.73,135.12,135.67,136.51,137.66,138.48,138.64,138.7,138.91,139.31,139.9
SINGARAJA,137.52,138.6,138.32,136.83,137.33,136.45,136.59,137.26,136.19,135.67,138.11,139.66
KOTA DENPASAR,124.81,125.33,125.35,125.44,125.58,125.57,125.72,126.05,125.64,125.58,125.82,127.17
KOTA MATARAM,126.17,126.67,125.89,125.81,126.43,127.03,127.66,127.17,127.42,127.52,127.85,128.75
KOTA BIMA,130.92,130.4,129.21,129.71,130.54,131.82,131.89,132.22,131.46,131.48,132.55,134.38
MAUMERE,122.35,122.29,122.01,121.8,122.26,122.57,122.94,123.09,123.82,123.34,123.46,123.93
KOTA KUPANG,130.09,130.32,129.19,129.57,129.49,130.2,129.91,129.12,129.55,128.9,129.96,131.71
KOTA PONTIANAK,137.25,137.74,137.38,137.77,138.18,139.95,139.61,139.8,140.14,139.66,139.31,140
KOTA SINGKAWANG,127.75,127.99,127.83,128.13,128.56,129.89,130.07,130.31,131.24,131.46,130.99,132.11
SAMPIT,128.14,128.49,129.67,129.83,129.86,130.88,131.62,130.19,129.82,129.99,130.37,131.17
KOTA PALANGKA RAYA,124.4,124.74,125.23,125.49,126.15,127.44,126.94,127.09,126.78,126.2,126.34,127.19
TANJUNG,128.45,128.86,129.13,128.29,128.05,129.75,130.11,129.73,128.92,127.96,128.5,130.53
KOTA BANJARMASIN,127.47,127.73,127.74,128.16,128.58,129.78,130.4,130.44,130.58,130.06,130.13,131.11
KOTA BALIKPAPAN,133,132.65,132.61,132.51,132.94,134.78,134.08,133.25,133.51,133.21,132.94,134.81
KOTA SAMARINDA,130.14,130.31,130.68,131.06,131.56,132.45,133.25,133.21,132.99,132.77,132.61,133.58
KOTA TARAKAN,137.54,137.59,138.14,138.51,139.21,141.84,141.45,140.32,139.98,139.42,139.17,140.38
KOTA MANADO,127.02,128.49,128.79,128.77,127.31,128.77,129.88,129.61,128.26,128.18,128.06,128.71
KOTA PALU,128.77,129.14,129.46,130.06,131.11,132.1,132.16,132.23,132.06,130.33,130.15,132.59
BULUKUMBA,131.53,132.55,132.34,133.18,133.21,134.85,135.86,136.39,136.31,135.64,135.9,136.31
WATAMPONE,122.1,123.07,122.81,123.52,123.8,126.06,126.53,126.91,126.73,126.09,126.14,126.93
KOTA MAKASSAR,127.88,128.89,128.69,129.12,128.71,129.79,131.15,130.71,130.61,130.24,130.67,132.1
KOTA PARE-PARE,123.23,123.4,122.84,122.9,122.97,124.6,125.74,125.32,125.44,124.69,124.89,126.28
KOTA PALOPO,124.79,125.87,125.56,125.83,125.66,127.41,127.47,127.53,127.48,127.47,127.49,128.67
KOTA KENDARI,122.75,123.35,123.06,122.9,123.74,128.17,128.76,126.86,125.89,124.87,124.44,125.28
KOTA BAU-BAU,129.45,129.26,129.29,128.42,128.64,131.62,134.83,132.46,132.65,131.22,131.76,132.74
KOTA GORONTALO,123.34,123.74,123.79,123.64,123.88,126.14,127.44,126.2,126.32,125.87,126.08,127.07
MAMUJU,126.26,127.61,127.24,127.31,127.66,128.92,129,129.54,129.55,128.93,129.51,130.28
KOTA AMBON,126.2,125.26,126.67,125.71,125.96,129.63,130.75,128.03,127.74,126.11,125.37,125.79
KOTA TUAL,140.27,141.72,142.83,143.06,144.44,150.91,154.37,151.21,153.62,155.24,150.99,153.31
KOTA TERNATE,131.09,131.13,130.72,131.19,131.45,133.49,134.56,132.53,131.86,132.55,131.15,132.84
MANOKWARI,122.46,121.76,121.82,121.47,122.2,124.32,124.94,123.32,124.67,124.22,124.2,124.53
KOTA SORONG,127.93,128.1,128.59,128.26,127.61,128.92,129.6,129.08,128.93,128.54,128.3,128.53
MERAUKE,133.47,134.01,135.67,135.1,135.41,135.57,133.53,132.36,131.51,132.13,132.49,133.77
KOTA JAYAPURA,128.81,127.82,129.03,129.97,129.75,131.07,129.59,129.87,129.04,128.92,128.81,131.75
INDONESIA,127.94,128.24,128.22,128.33,128.83,129.72,130,129.91,130.08,130.09,130.35,131.28