90 Kota Inflasi (2018=100),,,,,,,,,,,,
,Indeks Harga Konsumen 90 Kota (Umum),,,,,,,,,,,
,2023,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember
KOTA MEULABOH,119.59,120.06,119.27,118.44,119.13,119.69,119.95,120.02,120.56,120.92,121.19,120.38
KOTA BANDA ACEH,115.69,116.35,115.69,115.9,116.05,116.12,116.47,116.15,116.31,116.02,116.46,116.75
KOTA LHOKSEUMAWE,115.41,116,115.64,115.15,115.74,115.82,115.77,115.8,116.11,115.98,116.2,116.34
KOTA SIBOLGA,116.78,117.15,116.38,116.69,116.88,117.6,118.01,118.16,118.68,118.45,118.22,118.32
KOTA PEMATANG SIANTAR,115.55,115.5,115.15,114.86,115.38,115.98,116.1,115.97,116.15,115.98,116.41,117.06
KOTA MEDAN,113.35,112.92,112.58,112.36,112.63,112.96,113.28,113.21,113.64,113.59,114.15,114.84
KOTA PADANGSIDIMPUAN,116.98,117.47,117.27,117.22,117.79,118.04,118.58,118.42,119,118.79,118.8,119.05
KOTA GUNUNGSITOLI,116.79,115.65,114.6,114.12,114.55,114.79,116.28,116.43,116.87,116.31,117.11,117.35
KOTA PADANG,115.22,115.37,115.26,115.23,115.69,115.65,116.22,116.3,116.38,116.52,117.22,117.62
KOTA BUKITTINGGI,115.31,115.42,115.38,115.45,115.66,115.76,116.18,116.08,116.85,116.78,117.18,117.02
TEMBILAHAN,113.19,113.34,113.13,113.6,113.75,113.78,114.24,113.62,113.72,113.58,114.19,114.32
KOTA PEKANBARU,114.75,114.97,114.77,114.76,114.78,115.01,115.43,115.38,115.77,115.81,116.63,116.88
KOTA DUMAI,115.62,115.55,115.53,115.34,115.65,115.98,116.82,116.69,117.3,116.95,117.88,117.85
BUNGO,115.07,115.25,115.11,115.42,115.59,115.73,116.08,115.69,116.09,116.14,117.08,117.44
KOTA JAMBI,115.94,115.69,115.5,115.66,116.25,116.33,116.9,116.37,116.85,117.43,118.36,118.66
KOTA PALEMBANG,113.29,113.39,113.63,114.01,113.95,114.4,114.73,114.68,115.11,115.72,116.36,116.53
KOTA LUBUKLINGGAU,113.4,113.44,113.56,113.96,114.11,114.39,114.74,114.69,115.08,115.3,115.68,115.97
KOTA BENGKULU,113.88,113.92,114.22,114.54,114.74,114.98,115.54,115.46,115.73,116.05,116.4,116.68
KOTA BANDAR LAMPUNG,115.57,115.76,115.84,116.19,116.06,116.26,116.29,116.69,117.08,117.41,118.64,118.66
KOTA METRO,115.97,116.16,115.9,116.25,116.54,116.55,116.83,116.75,117.14,117.66,118.64,118.6
TANJUNG PANDAN,117.52,117.21,118.03,118.25,119.76,119.72,120.42,119.94,121.63,120.87,120.62,119.93
KOTA PANGKAL PINANG,113.55,113.2,113.49,114.15,114.16,114.62,114.95,115.02,115.72,115.58,115.64,115.94
KOTA BATAM,113.31,113.88,113.51,114.04,113.75,114.34,114.65,114.85,114.99,115.41,116.29,116.85
KOTA TANJUNG PINANG,110.82,111.17,111.13,111.37,111.07,111.39,111.78,111.8,112.27,112.35,113.12,113.31
DKI JAKARTA,112.21,112.42,112.83,113.28,113.17,113.18,113.39,113.4,113.61,113.76,114.1,114.67
KOTA BOGOR,116.25,116.67,116.85,117.22,117.48,117.69,117.97,117.87,118.06,118.2,119.16,119.42
KOTA SUKABUMI,113.75,114.1,114.27,114.82,115.04,115.22,115.5,115.48,115.74,115.8,116.18,116.4
KOTA BANDUNG,115.87,116.17,114.43,114.8,114.92,115.08,115.34,115.32,115.45,115.54,115.79,116.16
KOTA CIREBON,111.61,112.01,112.2,112.61,112.78,113,113.25,113.12,113.32,113.36,113.54,113.87
KOTA BEKASI,116.15,116.6,116.75,117.4,117.49,117.75,118,117.91,118.01,118.18,118.66,119.3
KOTA DEPOK,115.52,115.95,116.14,116.41,116.54,116.62,116.87,116.84,116.95,117.13,117.44,117.76
KOTA TASIKMALAYA,112.24,112.7,112.78,113.49,113.8,113.85,114,113.95,114.34,114.35,114.65,114.96
CILACAP,113.95,114.26,114.48,114.8,115.05,115.11,115.13,115.18,115.65,115.79,116.28,116.49
PURWOKERTO,114.52,114.88,114.99,115.3,115.55,115.57,115.74,115.75,116.2,116.44,116.88,117.08
KUDUS,113.42,113.82,114.11,114.5,114.74,114.75,114.95,114.97,115.42,115.73,116.3,116.47
KOTA SURAKARTA,115.22,115.77,116.05,116.36,116.58,116.68,117.04,117.08,117.57,117.76,118.26,118.52
KOTA SEMARANG,113.19,113.43,113.66,113.97,114.22,114.24,114.5,114.52,115,115.19,115.79,116.05
KOTA TEGAL,115.2,115.91,115.88,116.26,116.63,116.68,116.77,116.84,117.32,117.62,118.2,118.46
KOTA YOGYAKARTA,115.77,116.08,116.78,117.04,117.45,117.47,117.8,117.75,118.09,118.39,118.81,119.23
JEMBER,115.84,116.05,116.5,116.75,117.03,117.19,117.32,117.36,117.59,117.71,118.04,118.3
BANYUWANGI,112.39,112.72,113.04,113.24,113.49,113.59,113.64,113.69,113.75,113.8,114.28,114.5
SUMENEP,115.71,115.69,116.46,116.98,117.75,117.25,117.16,117.35,118.19,118.94,119.97,120.82
KOTA KEDIRI,113.57,113.75,114.03,114.18,114.55,114.74,114.92,114.96,115.39,115.62,116.06,116.26
KOTA MALANG,112.85,112.95,113.42,113.69,113.97,114.05,114.27,114.35,114.56,114.86,115.32,115.57
KOTA PROBOLINGGO,112.43,112.39,112.86,113.37,113.66,113.87,113.97,114.06,114.38,114.63,115.14,115.39
KOTA MADIUN,113,113.04,113.32,113.57,113.65,113.74,113.85,113.87,114.2,114.45,115,115.26
KOTA SURABAYA,115.17,115.29,115.74,116.13,116.29,116.43,116.6,116.76,117.18,117.5,117.81,118.17
KOTA TANGERANG,112.31,112.54,112.7,113.47,113.48,113.67,113.73,113.59,113.86,114.1,114.78,115.37
KOTA CILEGON,116.86,117.03,117.4,117.64,117.93,118.01,118.23,118.07,118.41,118.55,119.3,119.9
KOTA SERANG,118.14,118.64,118.47,118.88,119.3,119.43,119.48,119.33,119.4,119.47,119.88,120.24
SINGARAJA,114.85,115.18,115.66,115.41,115.84,116.09,116.38,116.69,116.63,117.14,118.16,118.67
KOTA DENPASAR,113.87,113.91,113.94,114.01,114.4,114.31,114.72,114.96,114.93,115.1,115.48,116.05
KOTA MATARAM,112.87,113.22,113.19,113.69,113.92,113.9,114.14,114.15,114.63,115.11,115.45,115.79
KOTA BIMA,113.19,113.86,113.71,113.91,113.88,114.08,114.57,114.76,115.48,115.35,115.94,116.59
WAINGAPU,112.44,112.74,113.87,114.74,114.71,115.92,116.33,114.93,114.52,114.86,114.44,114.79
MAUMERE,114.59,114,115.24,115.29,115.23,114.83,115.58,116.01,116.19,116.4,116.61,117.32
KOTA KUPANG,114.02,113.14,114.61,114.43,113.53,114.69,115.09,113.96,113.87,114.41,114.96,115.38
SINTANG,122.04,121.95,122.11,122.55,122.97,123.49,123.51,123.08,123.44,123.5,123.66,124.26
KOTA PONTIANAK,114.49,114.55,114.6,115.16,115.59,115.84,115.96,115.5,115.62,115.8,115.84,116.61
KOTA SINGKAWANG,113.62,113.4,113.66,114.28,114.62,115.09,115.01,115.11,114.91,114.89,114.88,115.08
SAMPIT,117.11,117.23,117.79,117.88,118.32,118.63,118.94,118.75,118.88,119.45,119.65,119.97
KOTA PALANGKA RAYA,115.01,115.14,115.73,116.1,116.38,116.7,116.69,116.41,116.54,117.27,117.57,117.94
KOTA BARU,119.97,120.04,120.77,121.12,121.8,122.24,122.44,122.55,122.97,123.57,123.73,124.4
TANJUNG,115.1,115.33,116.4,116.8,116.98,116.54,116.47,116.01,116.04,116.74,117.09,117.61
KOTA BANJARMASIN,117.23,117.47,118.38,118.46,118.3,118.79,118.78,118.8,118.51,118.62,119.58,119.72
KOTA BALIKPAPAN,112.01,112.36,113.11,113.56,113.93,114.02,114.63,114.45,114.47,114.62,115.12,115.57
KOTA SAMARINDA,112.48,112.44,113.02,113.53,113.65,113.93,114.32,114.44,114.66,114.94,115.29,115.76
TANJUNG SELOR,113.19,113.47,113.7,114.27,114.3,114.34,114.73,114.78,114.27,114.8,115.22,115.93
KOTA TARAKAN,112.76,112.86,113.17,113.83,113.6,114.12,114.53,114.38,114.41,114.26,114.62,115.16
KOTA MANADO,113.31,113.07,113.92,114.21,113.96,114.09,114.06,113.8,113.96,115.03,115.36,116.14
KOTA KOTAMOBAGU,116.86,116.93,117.55,117.54,117.87,117.78,118,118.05,117.59,118.28,118.94,120.06
LUWUK,118.34,118.28,119.32,119.69,120.27,121.13,122.01,122.45,122.65,121.94,121.86,122.58
KOTA PALU,116.39,116.19,116.78,116.83,116.86,117.07,117.2,117.35,117.48,117.58,117.79,117.94
BULUKUMBA,114.1,114.24,114.68,114.9,115.24,115.26,115.27,115.22,115.54,115.77,116.07,116.67
WATAMPONE,113.19,113.13,113.75,114.03,114.35,114.23,114.29,114.18,114.46,114.72,115.02,115.77
KOTA MAKASSAR,114.95,114.66,115.52,115.75,115.79,116.05,116.14,116.05,115.94,116.4,116.59,117.49
KOTA PARE-PARE,116.42,116.11,117.13,117.37,117.68,117.64,117.55,117.4,117.59,117.95,118.05,118.55
KOTA PALOPO,113.66,113.73,114.71,115.06,115.41,115.15,115.29,115.02,114.85,115.02,115.03,115.6
KOTA KENDARI,115.93,115.37,116.14,116.68,117.51,117.93,118.2,118.22,118.67,118.66,118.86,119.23
KOTA BUA-BAU,114.26,114.32,114.39,114.7,115.66,115.51,116.22,116.7,117.03,116.71,116.43,117.61
KOTA GORONTALO,112.97,112.63,112.86,112.88,112.97,113.64,113.92,113.63,113.23,114.36,115.48,117.01
MAMUJU,114.61,114.79,114.85,114.64,114.65,115.45,115.4,115.75,115.84,116.13,115.8,115.96
KOTA AMBON,116.56,115.85,116.04,116.38,117.38,118.67,118.6,118.18,118.48,118.94,119.61,120.05
KOTA TUAL,115.94,116.68,117.19,117.74,118.55,119.29,118.69,119.17,119.9,118.61,118,119.16
KOTA TERNATE,112.34,114.42,112.98,114.47,114.86,114.87,115.21,115.51,115.02,115.52,115.29,117.18
MANOKWARI,118.11,117.25,116.5,118.12,118.65,119.66,121.37,122.04,119.96,120.03,119.54,120.89
KOTA SORONG,112.02,111.75,112.78,112.79,113.45,114.28,114.48,114.21,113.84,114.68,114.12,114.38
MERAUKE,111.48,111.59,112.59,113.77,114.94,116.19,116.1,115.88,114.66,114.98,115.32,116.22
TIMIKA,115.2,114.52,115.25,116.86,117.74,118.64,119.62,120.19,119,118.53,119.53,119.96
KOTA JAYAPURA,111.4,110.46,110.59,112.18,112.12,113.64,113.46,113.3,113.05,112.88,112.99,113.87
INDONESIA,113.98,114.16,114.36,114.74,114.84,115,115.24,115.22,115.44,115.64,116.08,116.56